,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot
161,2025-02-04,2781,2883.8184480283,2888.249973705,2636.1657920424,2735.0512076664,48795275984.79,329660191677.39,-0.2164814766578716,135.0,82.0,2853.300049,6037.879883,21566.91992
160,2025-02-05,2781,2735.2257599192,2824.4002452398,2701.1049959141,2787.7789694742,31960764447.39,335986076952.44,-0.2221219311831361,85.0,82.0,2871.600098,6061.47998,21658.16016
159,2025-02-06,2781,2787.6586259853,2857.1419983154,2662.445884065,2688.4008590972,29500645692.02,324089046456.96,-0.0663333889722565,46.0,82.0,2856.0,6083.569824,21774.07031
158,2025-02-07,2781,2688.897410239,2798.0288447888,2564.9681842454,2622.2111776681,29526663418.39,316152808964.11,-0.2747518235697018,67.0,82.0,2867.300049,6025.990234,21491.31055
157,2025-02-08,2781,2623.0018923393,2665.4845163946,2591.7785058427,2632.308332463,17059263074.01,317313322582.68,0.0163903651061092,26.0,82.0,2867.300049,6025.990234,21491.31055
156,2025-02-09,2781,2632.5781153429,2695.2224396452,2530.4358200444,2628.7211134175,17517088275.7,316846464961.68,0.0200976327775572,49.0,55.0,2867.300049,6025.990234,21491.31055
155,2025-02-10,2781,2628.6502482734,2692.8086863671,2564.0185430528,2661.1668048351,19414208112.74,320790228234.34,-0.0037003658690188,27.0,55.0,2914.300049,6066.439941,21756.73047
154,2025-02-11,2781,2661.315754875,2724.9023095725,2565.397275361,2602.7820070465,21156550491.95,313746757408.99,-0.4081126184594226,57.0,55.0,2912.5,6068.5,21693.51953
153,2025-02-12,2781,2602.8281094306,2794.8673942088,2551.1746066302,2736.9020036463,26919387954.35,329929838676.92,-0.017015158104321,85.0,55.0,2909.0,6051.970215,21719.25977
152,2025-02-13,2781,2737.028655675,2756.4433329237,2615.6676678024,2675.9025200229,19481004624.97,322572193660.31,-0.0181428665768119,70.0,55.0,2925.899902,6115.069824,22030.71094
151,2025-02-14,2781,2675.9395139342,2790.0236747888,2666.2680202999,2726.0916324155,17732289901.14,328622196510.61,-0.0463552544815371,17.0,55.0,2883.600098,6114.629883,22114.68945
150,2025-02-15,2781,2726.074681712,2738.6811731312,2668.5316681696,2693.5597988453,10803019356.54,324709649978.64,-0.4199799322713526,63.0,55.0,2883.600098,6114.629883,22114.68945
149,2025-02-16,2781,2693.5623832114,2724.09637428,2655.2975549889,2663.3158479393,10593602116.57,321059394507.96,0.0093020614222846,47.0,61.0,2883.600098,6114.629883,22114.68945
148,2025-02-17,2781,2663.2294764262,2848.7842279959,2640.1820642565,2743.1997499049,24170425078.31,330685856663.88,-0.0052199827340932,62.0,61.0,2883.600098,6114.629883,22114.68945
147,2025-02-18,2781,2743.022951119,2754.6768040462,2606.9003104344,2669.3387495962,23004152927.66,321791711512.16,0.0205499042032994,35.0,61.0,2931.600098,6129.580078,22164.60938
146,2025-02-19,2781,2669.2133059543,2735.9176615063,2656.3756964386,2715.7709077319,15272401902.95,327400373024.63,-0.0173182045689786,44.0,61.0,2919.399902,6144.149902,22175.59961
145,2025-02-20,2781,2715.6826750023,2770.0304289613,2708.2159584491,2740.3865429063,15917259320.11,330341411616.59,-0.0440169251057798,72.0,61.0,2940.0,6117.52002,22068.06055
144,2025-02-21,2781,2740.0221610783,2842.827045024,2616.919474609,2659.6555266804,31441524620.79,320704621032.57,-0.3198287091179237,70.0,61.0,2937.600098,6013.129883,21614.08008
143,2025-02-22,2781,2660.0357886077,2797.0578254615,2653.8675001682,2764.0293093467,16403164396.91,333249074789.63,-0.0197788632921917,69.0,61.0,2937.600098,6013.129883,21614.08008
142,2025-02-23,2781,2764.0310516293,2850.6104583106,2746.7736322033,2821.3102005204,20493767269.49,340059349139.42,-0.0007671757342073,26.0,70.0,2937.600098,6013.129883,21614.08008
141,2025-02-24,2781,2820.4563582902,2839.0100874571,2478.8993296499,2513.8211930964,29127380459.41,303141769541.87,-0.0240193967874721,40.0,70.0,2947.899902,5983.25,21352.08008
140,2025-02-25,2781,2514.2110107832,2529.6690961025,2326.6321339592,2493.592433124,40044790246.26,300636306439.81,-0.2145102127020015,106.0,70.0,2904.5,5955.25,21087.25
139,2025-02-26,2781,2493.381561102,2503.4222049707,2255.0548728937,2331.4526094027,28815111322.9,281124001522.88,-0.1541012737437756,46.0,70.0,2916.800049,5956.060059,21132.91992
138,2025-02-27,2781,2331.5102477674,2378.0873196872,2230.4483376131,2305.4843934633,24286213447.07,278000492915.56,-0.0023780280586785,67.0,70.0,2883.199951,5861.569824,20550.94922
137,2025-02-28,2781,2305.560103006,2310.9492015051,2076.1698644908,2237.9052417047,35737904666.91,269852663998.37,-0.0314465679123887,81.0,70.0,2836.800049,5954.5,20884.41016
