,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot
156,2025-02-09,2781,96481.315261394,97325.2820426549,94745.2612271789,96500.0947902698,27732901800.43,1912827391516.37,-0.2523400418220027,19.0,36.0,2867.300049,6025.990234,21491.31055
155,2025-02-10,2781,96499.4620926385,98333.2200725747,95320.8420255399,97437.5572620868,40078962390.78,1931740792090.75,-0.018271023514627,11.0,36.0,2914.300049,6066.439941,21756.73047
154,2025-02-11,2781,97438.1312083266,98492.9012816126,94875.0388502221,95747.4311295895,37488783271.89,1897964794815.03,-0.0524616195605351,7.0,36.0,2912.5,6068.5,21693.51953
153,2025-02-12,2781,95745.6944569594,98151.0269256076,94101.2033270052,97885.8630551901,49340445529.78,1940242365476.66,-0.0025364373946309,67.0,36.0,2909.0,6051.970215,21719.25977
152,2025-02-13,2781,97888.7464885097,98111.0874246068,95269.7078995683,96623.8690084382,37147280859.99,1915447210572.84,-0.0151293783410824,73.0,36.0,2925.899902,6115.069824,22030.71094
151,2025-02-14,2781,96623.3708675579,98819.468963167,96342.8060263559,97508.9699033175,32697987276.92,1932948924495.69,0.0317275255918502,25.0,36.0,2883.600098,6114.629883,22114.68945
150,2025-02-15,2781,97508.3827694604,97975.0372487157,97240.197119082,97580.3493821008,17047266288.41,1934520637924.95,0.0008105045493516,34.0,36.0,2883.600098,6114.629883,22114.68945
149,2025-02-16,2781,97580.4905830129,97725.5973030704,96060.9797534292,96175.0320402609,16536755396.23,1906779638967.32,0.0666437310857612,63.0,36.0,2883.600098,6114.629883,22114.68945
148,2025-02-17,2781,96179.0045652885,97032.2382535096,95243.5431921376,95773.3841866043,27336550689.63,1898793608528.55,0.0081663244030311,42.0,36.0,2883.600098,6114.629883,22114.68945
147,2025-02-18,2781,95773.8162428381,96695.378399656,93388.8322011121,95539.5436031828,37325720482.36,1894092344724.63,-0.5174063875669365,20.0,36.0,2931.600098,6129.580078,22164.60938
146,2025-02-19,2781,95532.5321463391,96855.5972199515,95011.9690766763,96635.6132123525,28990872861.84,1915897477169.6,-0.5565971226477232,30.0,36.0,2919.399902,6144.149902,22175.59961
145,2025-02-20,2781,96632.6791870311,98767.1937355485,96442.6707214109,98333.937829345,31668022770.75,1949797317941.17,-0.0063303112886456,56.0,36.0,2940.0,6117.52002,22068.06055
144,2025-02-21,2781,98340.6700379587,99497.9667673705,94852.9586202686,96125.5440549653,49608706469.55,1905832099166.45,-0.1638909744930916,31.0,36.0,2937.600098,6013.129883,21614.08008
143,2025-02-22,2781,96134.2019122491,96950.1593791318,95765.3403944205,96577.7615471497,18353824476.55,1914928937300.34,-0.0122963899074999,51.0,36.0,2937.600098,6013.129883,21614.08008
142,2025-02-23,2781,96577.8030806053,96671.8742938271,95270.4528059821,96273.9197465574,16999478976.16,1909022572746.19,-0.0468746770230155,43.0,56.0,2937.600098,6013.129883,21614.08008
141,2025-02-24,2781,96277.9637903407,96503.4544271125,91371.7407133849,91418.1736674415,44046480529.18,1812835768648.78,-0.1670793509068696,62.0,56.0,2947.899902,5983.25,21352.08008
140,2025-02-25,2781,91437.1140051059,92511.0797388523,86008.2349127652,88736.1734415255,92139104127.7,1759577092442.84,-0.272584849869885,115.0,56.0,2904.5,5955.25,21087.25
139,2025-02-26,2781,88638.893456738,89286.2519247124,82131.9013643001,84347.019721982,64597492134.27,1671143630991.63,-0.0206763651250515,19.0,56.0,2916.800049,5956.060059,21132.91992
138,2025-02-27,2781,84076.8619070145,87000.7810169214,83144.9590529622,84704.2245822833,52659591953.61,1679717102161.05,-0.1141603172119027,25.0,56.0,2883.199951,5861.569824,20550.94922
137,2025-02-28,2781,84705.6284802187,85036.3222274563,78248.9161015268,84373.0103295802,83610570575.92,1673219380516.41,0.1320262665708299,89.0,56.0,2836.800049,5954.5,20884.41016
136,2025-03-01,2781,84373.8643718367,86522.3023454015,83794.2324922408,86031.9123977154,29190628396.31,1706160579762.37,0.0353451074030218,27.0,56.0,2836.800049,5954.5,20884.41016
135,2025-03-02,2781,86036.2575495497,95043.435203001,85040.211164905,94248.3505251674,58398341092.43,1869318230178.38,-0.0635669192974223,43.0,68.0,2836.800049,5954.5,20884.41016
134,2025-03-03,2781,94248.4214971805,94429.7478237328,85081.3049286788,86065.6683289207,70072228536.46,1707124824346.28,-0.0055132892046937,56.0,68.0,2890.199951,5849.720215,20425.58008
133,2025-03-04,2781,86064.0666589959,88911.2740776466,81529.2398329868,87222.1922066767,68095241474.12,1729669520136.75,0.0985363086398977,56.0,68.0,2909.600098,5778.149902,20352.5293
132,2025-03-05,2781,87222.954869116,90998.2395434617,86379.7730424013,90623.5618428087,50498988027.45,1797288639505.38,-0.4394367349225205,35.0,68.0,2915.300049,5842.629883,20628.46094
131,2025-03-06,2781,90622.3611550251,92804.9398315323,87852.1384806097,89961.727243714,47749810486.3,1783797293239.35,-0.2036171931417743,35.0,68.0,2916.600098,5738.52002,20052.63086
130,2025-03-07,2781,89963.2830044752,91191.0496299424,84717.6796713483,86742.6756244441,65945677657.29,1720278292432.94,-0.1057214074372412,117.0,68.0,2904.699951,5770.200195,20201.36914
129,2025-03-08,2781,86742.6529900258,86847.2675938541,85247.4841877294,86154.5932099702,18206118081.06,1708770969530.81,-0.2668545206762709,20.0,68.0,2904.699951,5770.200195,20201.36914
128,2025-03-09,2781,86154.3058905771,86471.1301630585,80052.4869785059,80601.0413114199,30899345977.33,1598204838668.61,-0.1523975074064828,107.0,57.0,2904.699951,5770.200195,20201.36914
127,2025-03-10,2781,80597.1497836398,83955.9262519717,77420.5921857503,78532.0018084677,54061099421.87,1558443889890.77,-0.218983852490247,156.0,57.0,2891.0,5614.560059,19430.94922
126,2025-03-11,2781,78523.8715438118,83577.7559592816,76624.2524898268,82862.2081809809,54702837195.93,1643251488719.33,-0.0884321169423452,56.0,57.0,2912.899902,5572.069824,19376.96094
125,2025-03-12,2781,82857.3783720186,84358.5774618278,80635.2492346441,83722.3619517496,40353484453.92,1660115020072.53,-0.0039630208203369,65.0,57.0,2939.100098,5599.299805,19596.01953
124,2025-03-13,2781,83724.9195997057,84301.6919089795,79931.853244561,81066.7013691458,31412940153.29,1608729406184.04,-0.0110023410607737,49.0,57.0,2984.300049,5521.52002,19225.48047
123,2025-03-14,2781,81066.993377569,85263.2898568471,80797.5625908225,83969.0997189857,29588112413.91,1665855004855.24,-0.0353112906531962,85.0,57.0,2994.5,5638.939941,19704.64063
122,2025-03-15,2781,83968.4059495509,84672.6721611549,83639.5948576348,84343.1084583416,13650491277.15,1673151454912.12,-0.0272264777037201,29.0,57.0,2994.5,5638.939941,19704.64063
121,2025-03-16,2781,84333.3216170116,85051.5984853423,82017.9047143343,82579.6908921864,21330270173.57,1638135611739.34,-0.0283996318587349,33.0,41.0,2994.5,5638.939941,19704.64063
120,2025-03-17,2781,82576.3342781945,84725.3259819035,82492.1525372132,84075.6886968797,25092785558.06,1667916832027.95,-0.4445534785362807,51.0,41.0,3000.0,5675.120117,19812.24023
119,2025-03-18,2781,84075.7156723962,84075.7156723962,81179.9901632846,82718.5023176431,24095774593.8,1641034534667.84,-0.0618895790853553,49.0,41.0,3035.100098,5614.660156,19483.35938
118,2025-03-19,2781,82718.8042584539,87021.1858054925,82569.7268946267,86854.2259604391,34931960257.28,1723489026417.42,-0.3431603707309462,28.0,41.0,3035.899902,5675.290039,19736.66016
117,2025-03-20,2781,86872.9533018947,87443.2677695942,83647.1939665022,84167.1934043364,29028988960.57,1669793971945.76,-0.0126378089040368,77.0,41.0,3040.0,5662.890137,19677.60938
116,2025-03-21,2781,84164.5425239259,84782.27165102,83171.0697216811,84043.245182099,19030452299.43,1667338686341.68,-0.0024979762191879,19.0,41.0,3018.199951,5667.560059,19753.9707
115,2025-03-22,2781,84046.2582881817,84513.8724239979,83674.78082322,83832.4875518333,9863214090.93,1663232978817.3,-0.072155990098652,18.0,41.0,3018.199951,5667.560059,19753.9707
114,2025-03-23,2781,83831.9005141602,86094.7800776054,83794.9106561252,86054.3718630108,12594615536.53,1707315972975.48,-0.6746683718548463,30.0,35.0,3018.199951,5667.560059,19753.9707
113,2025-03-24,2781,86070.9281111585,88758.7296368342,85541.1981001687,87498.9124102767,34582604932.53,1736502001565.25,-0.0033509198576211,17.0,35.0,3013.100098,5767.569824,20180.44922
112,2025-03-25,2781,87512.8194407259,88542.3946728374,86346.0788966631,87471.7030479404,30005840048.56,1735384354257.58,-0.2108987969724554,27.0,35.0,3023.699951,5776.649902,20287.83008
111,2025-03-26,2781,87460.2366697949,88292.156901437,85861.455394714,86900.8855432885,26704046037.95,1724236156701.27,0.1165810761334409,51.0,35.0,3020.899902,5712.200195,19916.99023
110,2025-03-27,2781,86896.2548762212,87786.723395316,85837.9337014745,87177.1021055135,24413471940.5,1730010857472.35,0.0018279658813102,33.0,35.0,3060.199951,5693.310059,19798.61914
109,2025-03-28,2781,87185.2346771071,87489.8612148241,83557.6424644235,84353.1510125816,34198619509.07,1673833438274.29,-0.0104119520151638,37.0,35.0,3086.5,5580.939941,19281.40039
108,2025-03-29,2781,84352.0727262958,84567.3321457268,81634.1413054795,82597.5843388613,16969396135.15,1639041071993.37,-0.2499513780712185,22.0,35.0,3086.5,5580.939941,19281.40039
107,2025-03-30,2781,82596.9832343092,83505.0029320693,81573.2470657633,82334.5226969202,14763760943.16,1633897839688.31,-0.4730857372283935,4.0,42.0,3086.5,5580.939941,19281.40039
106,2025-03-31,2781,82336.0593457524,83870.1213490621,81293.8885609204,82548.9109608694,29004228246.6,1638221363683.2,-0.3422214950941786,56.0,42.0,3122.800049,5611.850098,19278.44922
105,2025-04-01,2781,82551.9187292547,85487.3661226658,82429.3619929085,85169.1695887702,28175650319.38,1690423576120.2,-0.3738561039305106,45.0,42.0,3118.899902,5633.069824,19436.41992
104,2025-04-02,2781,85180.6130399194,88466.9569585923,82343.5391072756,82485.7083713044,47584398470.45,1637022453253.18,0.0587238931655883,9.0,42.0,3139.899902,5670.970215,19581.7793
103,2025-04-03,2781,82487.4764239047,83909.2983654795,81282.0978627491,83102.8282065402,36852112079.93,1649221222254.52,-0.2174615591446921,33.0,42.0,3097.0,5396.52002,18521.4707
102,2025-04-04,2781,83100.2474409798,84696.1462638178,81670.7487703545,83843.8048731047,45157640206.84,1664044793034.85,-0.5489426475480172,56.0,42.0,3012.0,5074.080078,17397.69922
101,2025-04-05,2781,83844.6996629091,84207.0193621592,82377.7358642744,83504.8001720546,14380803630.57,1657340895729.22,-0.5978168872116649,43.0,42.0,3012.0,5074.080078,17397.69922
