,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,XRP_trends,gold_spot,gspc_spot,ndx_spot
238,2024-11-19,2781,1.1178938334,1.1457942795,1.073826802,1.1019471609,5884163705.11,62734956393.38,0.2645759357885324,66.0,50.0,2627.100098,5916.97998,20684.58984
237,2024-11-20,2781,1.1019425187,1.1466365275,1.0637480074,1.1023006706,6409028713.65,62755593014.88,0.1147129432245409,62.0,50.0,2648.199951,5917.109863,20667.09961
236,2024-11-21,2781,1.1023050019,1.251769659,1.0820939727,1.250351528,10451562187.86,71177670946.92,-0.0433186446252751,51.0,50.0,2672.100098,5948.709961,20740.7793
235,2024-11-22,2781,1.2502392049,1.4969073743,1.2475605561,1.4690188275,19984456168.5,83733145933.25,-0.0046414426501641,72.0,50.0,2709.899902,5969.339844,20776.23047
234,2024-11-23,2781,1.4690321408,1.6216148206,1.4274995774,1.4690081194,15468388183.18,83731293273.83,0.1913740639550698,74.0,50.0,2709.899902,5969.339844,20776.23047
233,2024-11-24,2781,1.4689996374,1.509101318,1.308200217,1.4324108501,11863424377.05,81624797886.49,-0.2403511806478142,110.0,51.0,2709.899902,5969.339844,20776.23047
232,2024-11-25,2781,1.4324132229,1.5359229515,1.3643274571,1.4154234843,11517571350.21,80677514038.03,0.1196707632161874,60.0,51.0,2616.800049,5987.370117,20804.89063
231,2024-11-26,2781,1.4153674888,1.4565421533,1.2948045699,1.4013232019,9378581137.72,79873183625.28,0.0003421228492709,34.0,51.0,2620.300049,6021.629883,20922.90039
230,2024-11-27,2781,1.4013121402,1.5183703598,1.3573457307,1.4728115876,7766481601.85,83950603431.04,-0.2932662658863239,60.0,51.0,2639.899902,5998.740234,20744.49023
229,2024-11-28,2781,1.4728472615,1.5423698838,1.4341828968,1.5413428114,5820667101.24,87935391291.01,0.0133057206104963,20.0,51.0,2639.899902,5998.740234,20744.49023
228,2024-11-29,2781,1.5413337954,1.8115313099,1.527908342,1.7967308202,14734827153.69,102505288526.38,0.0255629369054474,38.0,51.0,2657.0,6032.379883,20930.36914
227,2024-11-30,2781,1.7967153281,1.9549070325,1.7705542417,1.9441209163,16537204318.84,110914167221.27,0.2300381094270614,78.0,51.0,2657.0,6032.379883,20930.36914
226,2024-12-01,2781,1.9441063697,2.339640559,1.8536367382,2.3202227638,18321198112.71,132401816051.76,0.3922511001300198,105.0,100.0,2657.0,6032.379883,20930.36914
225,2024-12-02,2781,2.3207424298,2.8496809487,2.2438926128,2.7138054482,51723383809.08,154833155059.53,-0.0394251940196084,274.0,100.0,2634.899902,6047.149902,21164.59961
224,2024-12-03,2781,2.7139195157,2.864887495,2.3610097798,2.5255265628,43498034453.03,144087179578.45,0.0038566535546593,177.0,100.0,2644.699951,6049.879883,21229.32031
223,2024-12-04,2781,2.5255637816,2.6703455322,2.2956320106,2.3544443216,22033216003.08,134324762498.12,0.036738600599374,156.0,100.0,2653.800049,6086.490234,21492.35938
222,2024-12-05,2781,2.3544478845,2.4849986666,2.188863289,2.295206407,21253973296.08,131109469087.81,0.0007951636119881,56.0,100.0,2626.600098,6075.109863,21425.2207
221,2024-12-06,2781,2.2509115226,2.460490226,2.2395102804,2.4247366988,13380810341.34,138494675251.19,-0.0379074302000847,61.0,100.0,2638.600098,6090.27002,21622.25
220,2024-12-07,2781,2.4247441756,2.6172638774,2.396321842,2.6166238506,12359080774.41,149449831182.87,-0.1337010701751302,92.0,100.0,2638.600098,6090.27002,21622.25
219,2024-12-08,2781,2.6165454162,2.6408749287,2.4924450126,2.608348378,10558694953.33,148979151280.3,0.024486809077849,76.0,57.0,2638.600098,6090.27002,21622.25
218,2024-12-09,2781,2.6083048225,2.6083048225,2.1030721264,2.2189515996,19372805326.9,126756639868.54,-0.1588018213909479,76.0,57.0,2664.899902,6052.850098,21440.82031
217,2024-12-10,2781,2.2192363979,2.4110743663,1.9122536137,2.3691595828,26630797340.94,135328392118.93,-0.0302546803280101,88.0,57.0,2697.600098,6034.910156,21368.17969
216,2024-12-11,2781,2.3693093614,2.4658826762,2.2391629943,2.4000700284,14234882608.37,137084477674.63,-0.0172622439418051,137.0,57.0,2733.800049,6084.189941,21763.98047
215,2024-12-12,2781,2.4000546462,2.4816329153,2.316993818,2.3427699891,10907030447.12,133975578865.59,0.0067751271698307,90.0,57.0,2687.5,6051.25,21615.26953
214,2024-12-13,2781,2.3427271897,2.4723495683,2.2943919131,2.42131924,9425468611.5,138470090851.11,-0.0454530979871429,100.0,57.0,2656.0,6051.089844,21780.25
213,2024-12-14,2781,2.42131924,2.5205829061,2.3579375762,2.3987049507,7815885533.68,137176691643.88,0.0092102470508427,60.0,57.0,2656.0,6051.089844,21780.25
212,2024-12-15,2781,2.3987025698,2.4654203374,2.3696292918,2.4469501385,6045150093.91,139938660156.77,-0.0238288098420852,84.0,51.0,2656.0,6051.089844,21780.25
211,2024-12-16,2781,2.4469989741,2.5688954907,2.3448922813,2.4886575512,12061755484.82,142317600201.06,0.1339245125868016,96.0,51.0,2651.399902,6074.080078,22096.66016
210,2024-12-17,2781,2.4885976563,2.7176748915,2.4457168753,2.5651900428,17019845093.14,146700115733.62,0.0069096213777126,46.0,51.0,2644.399902,6050.609863,22001.08008
209,2024-12-18,2781,2.5652313114,2.5846015181,2.287401604,2.303317967,19855585018.12,131721067955.85,-0.006479425355792,17.0,51.0,2636.5,5872.160156,21209.32031
208,2024-12-19,2781,2.3033043034,2.4264085225,2.16959287,2.2488911368,23020304510.59,128753851209.32,-0.0638867652897722,34.0,51.0,2592.199951,5867.080078,21110.50977
